"imageid","lunar_phase","temperature_f","tmstamp","x_coord","y_coord","num_markings"
"SPIGa2013b_000001","oldcres",73,"2013:01:09 15:00:00",NA,NA,NA
"SPIGa2013b_000002","oldcres",72,"2013:01:09 16:00:00",563.2857143,412.2857143,7
"SPIGa2013b_000002","oldcres",72,"2013:01:09 16:00:00",232.5,517.1666667,6
"SPIGa2013b_000002","oldcres",72,"2013:01:09 16:00:00",745.5714286,255.2857143,7
"SPIGa2013b_000002","oldcres",72,"2013:01:09 16:00:00",623.25,194.75,4
"SPIGa2013b_000003","oldcres",53,"2013:01:09 17:00:00",632.2857143,418.7142857,7
"SPIGa2013b_000003","oldcres",53,"2013:01:09 17:00:00",588.2857143,417.1428571,7
"SPIGa2013b_000003","oldcres",53,"2013:01:09 17:00:00",346,511.625,8
"SPIGa2013b_000003","oldcres",53,"2013:01:09 17:00:00",330.25,535.75,4
"SPIGa2013b_000003","oldcres",53,"2013:01:09 17:00:00",262.1428571,359.6428571,14
"SPIGa2013b_000003","oldcres",53,"2013:01:09 17:00:00",639.5714286,51.85714286,7
"SPIGa2013b_000004","oldcres",42,"2013:01:09 18:00:00",NA,NA,NA
"SPIGa2013b_000005","oldcres",41,"2013:01:09 19:00:00",NA,NA,NA
"SPIGa2013b_000006","oldcres",39,"2013:01:09 20:00:00",NA,NA,NA
"SPIGa2013b_000007","oldcres",36,"2013:01:09 21:00:00",NA,NA,NA
"SPIGa2013b_000008","new",34,"2013:01:10 07:00:00",622,423,6
"SPIGa2013b_000008","new",34,"2013:01:10 07:00:00",258.6666667,364.6666667,6
"SPIGa2013b_000008","new",34,"2013:01:10 07:00:00",310.6666667,530,6
"SPIGa2013b_000009","new",35,"2013:01:10 08:00:00",622.25,427.125,8
"SPIGa2013b_000009","new",35,"2013:01:10 08:00:00",669.75,198.75,4
"SPIGa2013b_000009","new",35,"2013:01:10 08:00:00",774,228.75,4
"SPIGa2013b_000010","new",36,"2013:01:10 09:00:00",360.4285714,523.7142857,7
"SPIGa2013b_000010","new",36,"2013:01:10 09:00:00",631.8888889,424.1111111,9
"SPIGa2013b_000010","new",36,"2013:01:10 09:00:00",246.8333333,369.5,6
"SPIGa2013b_000010","new",36,"2013:01:10 09:00:00",268,354,7
"SPIGa2013b_000010","new",36,"2013:01:10 09:00:00",703.25,194.25,4
"SPIGa2013b_000010","new",36,"2013:01:10 09:00:00",640.5,50.16666667,6
"SPIGa2013b_000011","new",38,"2013:01:10 10:00:00",675.5,196,8
"SPIGa2013b_000011","new",38,"2013:01:10 10:00:00",266.5,363.25,4
"SPIGa2013b_000012","new",36,"2013:01:10 11:00:00",319.5,522.5,8
"SPIGa2013b_000012","new",36,"2013:01:10 11:00:00",243.8888889,373,9
"SPIGa2013b_000012","new",36,"2013:01:10 11:00:00",630.5,420.625,8
"SPIGa2013b_000012","new",36,"2013:01:10 11:00:00",752.2222222,258.5555556,9
"SPIGa2013b_000012","new",36,"2013:01:10 11:00:00",676.1111111,201.4444444,9
"SPIGa2013b_000012","new",36,"2013:01:10 11:00:00",353,132.6,5
"SPIGa2013b_000013","new",36,"2013:01:10 12:00:00",681.1428571,200.1428571,7
"SPIGa2013b_000013","new",36,"2013:01:10 12:00:00",635.4285714,422.4285714,7
"SPIGa2013b_000013","new",36,"2013:01:10 12:00:00",786.2,258,5
"SPIGa2013b_000014","new",37,"2013:01:10 13:00:00",781.6,255.2,5
"SPIGa2013b_000014","new",37,"2013:01:10 13:00:00",683.2,201.4,5
"SPIGa2013b_000014","new",37,"2013:01:10 13:00:00",632.8,421.6,5
"SPIGa2013b_000014","new",37,"2013:01:10 13:00:00",273.8,364.2,5
"SPIGa2013b_000014","new",37,"2013:01:10 13:00:00",333,532.4,5
"SPIGa2013b_000015","new",41,"2013:01:10 14:00:00",672.4666667,201.1333333,15
"SPIGa2013b_000015","new",41,"2013:01:10 14:00:00",635.2727273,416,11
"SPIGa2013b_000015","new",41,"2013:01:10 14:00:00",333.1818182,533,11
"SPIGa2013b_000015","new",41,"2013:01:10 14:00:00",280.9,359.2,10
"SPIGa2013b_000015","new",41,"2013:01:10 14:00:00",639.6,52,5
"SPIGa2013b_000015","new",41,"2013:01:10 14:00:00",345.8571429,199.7142857,7
"SPIGa2013b_000015","new",41,"2013:01:10 14:00:00",826.5,32,4
"SPIGa2013b_000016","new",42,"2013:01:10 15:00:00",640.375,418.75,8
"SPIGa2013b_000016","new",42,"2013:01:10 15:00:00",345,527.4,5
"SPIGa2013b_000016","new",42,"2013:01:10 15:00:00",272,363.8571429,7
"SPIGa2013b_000016","new",42,"2013:01:10 15:00:00",323.2857143,191.5714286,7
"SPIGa2013b_000016","new",42,"2013:01:10 15:00:00",293.2,533.8,5
"SPIGa2013b_000016","new",42,"2013:01:10 15:00:00",781.2857143,259,7
"SPIGa2013b_000016","new",42,"2013:01:10 15:00:00",679.2857143,196.4285714,7
"SPIGa2013b_000017","new",42,"2013:01:10 16:00:00",792.2,263.6,5
"SPIGa2013b_000017","new",42,"2013:01:10 16:00:00",685.4285714,192,7
"SPIGa2013b_000017","new",42,"2013:01:10 16:00:00",835.25,26.5,4
"SPIGa2013b_000017","new",42,"2013:01:10 16:00:00",260.125,358,8
"SPIGa2013b_000017","new",42,"2013:01:10 16:00:00",646.8181818,413.6363636,11
"SPIGa2013b_000017","new",42,"2013:01:10 16:00:00",335,517.8571429,7
"SPIGa2013b_000018","new",41,"2013:01:10 17:00:00",806.25,250.75,4
"SPIGa2013b_000018","new",41,"2013:01:10 17:00:00",694.5,193.75,4
"SPIGa2013b_000018","new",41,"2013:01:10 17:00:00",629.7142857,422.5714286,7
"SPIGa2013b_000018","new",41,"2013:01:10 17:00:00",321.75,532,4
"SPIGa2013b_000018","new",41,"2013:01:10 17:00:00",269.4,366.4,5
"SPIGa2013b_000018","new",41,"2013:01:10 17:00:00",840.25,33.25,4
"SPIGa2013b_000019","new",41,"2013:01:10 18:00:00",323.75,514.75,4
"SPIGa2013b_000019","new",41,"2013:01:10 18:00:00",254.75,367.5,4
"SPIGa2013b_000020","new",40,"2013:01:10 19:00:00",794,254.25,4
"SPIGa2013b_000020","new",40,"2013:01:10 19:00:00",300.4,525.4,5
"SPIGa2013b_000020","new",40,"2013:01:10 19:00:00",259.5,363,8
"SPIGa2013b_000020","new",40,"2013:01:10 19:00:00",340.5,200.5,4
