[1] "out_8a_50b_20d_200t_PPC_diag"
[1] "Total iterations: 10000"
[1] "Total minutes: 311.66"
           param   rhat
1       mean_phi 1.0034
2         mean_p 1.0006
3       mean_phi 1.0034
4        sigma_p 1.0003
5      sigma_phi 1.0149
6      sigma_phi 1.0149
7         beta_p 1.0004
8       beta_phi 1.0020
9       beta_phi 1.0020
10        mu_phi 1.0033
11          mu_p 1.0005
12        mu_phi 1.0033
13    eps_phi[1] 1.0010
14    eps_phi[2] 1.0049
15    eps_phi[3] 1.0013
16    eps_phi[4] 1.0012
17    eps_phi[5] 1.0022
18    eps_phi[6] 1.0017
19    eps_phi[7] 1.0009
20    eps_phi[8] 1.0025
21    eps_phi[9] 1.0015
22   eps_phi[10] 1.0010
23   eps_phi[11] 1.0018
24   eps_phi[12] 1.0023
25   eps_phi[13] 1.0014
26   eps_phi[14] 1.0018
27   eps_phi[15] 1.0011
28   eps_phi[16] 1.0016
29   eps_phi[17] 1.0008
30   eps_phi[18] 1.0011
31   eps_phi[19] 1.0013
32   eps_phi[20] 1.0019
33   eps_phi[21] 1.0015
34   eps_phi[22] 1.0022
35   eps_phi[23] 1.0011
36   eps_phi[24] 1.0006
37   eps_phi[25] 1.0021
38   eps_phi[26] 1.0007
39   eps_phi[27] 1.0025
40   eps_phi[28] 1.0013
41   eps_phi[29] 1.0028
42   eps_phi[30] 1.0009
43   eps_phi[31] 1.0012
44   eps_phi[32] 1.0011
45   eps_phi[33] 1.0025
46   eps_phi[34] 1.0019
47   eps_phi[35] 1.0007
48   eps_phi[36] 1.0011
49   eps_phi[37] 1.0013
50   eps_phi[38] 1.0020
51   eps_phi[39] 1.0015
52   eps_phi[40] 1.0012
53   eps_phi[41] 1.0008
54   eps_phi[42] 1.0008
55   eps_phi[43] 1.0031
56   eps_phi[44] 1.0014
57   eps_phi[45] 1.0011
58   eps_phi[46] 1.0014
59   eps_phi[47] 1.0011
60   eps_phi[48] 1.0013
61   eps_phi[49] 1.0018
62   eps_phi[50] 1.0014
63   eps_phi[51] 1.0012
64   eps_phi[52] 1.0013
65   eps_phi[53] 1.0021
66   eps_phi[54] 1.0011
67   eps_phi[55] 1.0017
68   eps_phi[56] 1.0011
69   eps_phi[57] 1.0018
70   eps_phi[58] 1.0016
71   eps_phi[59] 1.0016
72   eps_phi[60] 1.0016
73   eps_phi[61] 1.0022
74   eps_phi[62] 1.0007
75   eps_phi[63] 1.0005
76   eps_phi[64] 1.0012
77   eps_phi[65] 1.0016
78   eps_phi[66] 1.0008
79   eps_phi[67] 1.0010
80   eps_phi[68] 1.0052
81   eps_phi[69] 1.0007
82   eps_phi[70] 1.0012
83   eps_phi[71] 1.0015
84   eps_phi[72] 1.0018
85   eps_phi[73] 1.0010
86   eps_phi[74] 1.0008
87   eps_phi[75] 1.0010
88   eps_phi[76] 1.0017
89   eps_phi[77] 1.0013
90   eps_phi[78] 1.0011
91   eps_phi[79] 1.0011
92   eps_phi[80] 1.0017
93   eps_phi[81] 1.0012
94   eps_phi[82] 1.0007
95   eps_phi[83] 1.0008
96   eps_phi[84] 1.0005
97   eps_phi[85] 1.0016
98   eps_phi[86] 1.0008
99   eps_phi[87] 1.0010
100  eps_phi[88] 1.0014
101  eps_phi[89] 1.0011
102  eps_phi[90] 1.0013
103  eps_phi[91] 1.0016
104  eps_phi[92] 1.0012
105  eps_phi[93] 1.0008
106  eps_phi[94] 1.0010
107  eps_phi[95] 1.0016
108  eps_phi[96] 1.0012
109  eps_phi[97] 1.0031
110  eps_phi[98] 1.0011
111  eps_phi[99] 1.0005
112 eps_phi[100] 1.0012
113 eps_phi[101] 1.0011
114 eps_phi[102] 1.0014
115 eps_phi[103] 1.0014
116 eps_phi[104] 1.0014
117 eps_phi[105] 1.0008
118 eps_phi[106] 1.0007
119 eps_phi[107] 1.0009
120 eps_phi[108] 1.0012
121 eps_phi[109] 1.0011
122 eps_phi[110] 1.0011
123 eps_phi[111] 1.0008
124 eps_phi[112] 1.0006
125 eps_phi[113] 1.0004
126 eps_phi[114] 1.0012
127 eps_phi[115] 1.0019
128 eps_phi[116] 1.0013
129 eps_phi[117] 1.0014
130 eps_phi[118] 1.0012
131 eps_phi[119] 1.0010
132 eps_phi[120] 1.0018
133 eps_phi[121] 1.0014
134 eps_phi[122] 1.0017
135 eps_phi[123] 1.0030
136 eps_phi[124] 1.0016
137 eps_phi[125] 1.0003
138 eps_phi[126] 1.0019
139 eps_phi[127] 1.0018
140 eps_phi[128] 1.0011
141 eps_phi[129] 1.0010
142 eps_phi[130] 1.0008
143 eps_phi[131] 1.0011
144 eps_phi[132] 1.0008
145 eps_phi[133] 1.0013
146 eps_phi[134] 1.0013
147 eps_phi[135] 1.0012
148 eps_phi[136] 1.0013
149 eps_phi[137] 1.0006
150 eps_phi[138] 1.0012
151 eps_phi[139] 1.0020
152 eps_phi[140] 1.0008
153 eps_phi[141] 1.0005
154 eps_phi[142] 1.0011
155 eps_phi[143] 1.0012
156 eps_phi[144] 1.0009
157 eps_phi[145] 1.0011
158 eps_phi[146] 1.0015
159 eps_phi[147] 1.0013
160 eps_phi[148] 1.0017
161 eps_phi[149] 1.0010
162 eps_phi[150] 1.0020
163 eps_phi[151] 1.0012
164 eps_phi[152] 1.0009
165 eps_phi[153] 1.0015
166 eps_phi[154] 1.0010
167 eps_phi[155] 1.0019
168 eps_phi[156] 1.0010
169 eps_phi[157] 1.0009
170 eps_phi[158] 1.0011
171 eps_phi[159] 1.0009
172 eps_phi[160] 1.0021
173 eps_phi[161] 1.0015
174 eps_phi[162] 1.0013
175 eps_phi[163] 1.0021
176 eps_phi[164] 1.0011
177 eps_phi[165] 1.0012
178 eps_phi[166] 1.0013
179 eps_phi[167] 1.0010
180 eps_phi[168] 1.0024
181 eps_phi[169] 1.0023
182 eps_phi[170] 1.0012
183 eps_phi[171] 1.0009
184 eps_phi[172] 1.0015
185 eps_phi[173] 1.0024
186 eps_phi[174] 1.0007
187 eps_phi[175] 1.0030
188 eps_phi[176] 1.0011
189 eps_phi[177] 1.0042
190 eps_phi[178] 1.0009
191 eps_phi[179] 1.0020
192 eps_phi[180] 1.0015
193 eps_phi[181] 1.0010
194 eps_phi[182] 1.0009
195 eps_phi[183] 1.0014
196 eps_phi[184] 1.0016
197 eps_phi[185] 1.0010
198 eps_phi[186] 1.0007
199 eps_phi[187] 1.0026
200 eps_phi[188] 1.0005
201 eps_phi[189] 1.0013
202 eps_phi[190] 1.0021
203 eps_phi[191] 1.0011
204 eps_phi[192] 1.0033
205 eps_phi[193] 1.0006
206 eps_phi[194] 1.0009
207 eps_phi[195] 1.0019
208 eps_phi[196] 1.0011
209 eps_phi[197] 1.0005
